run,processes,N,seq_time,par_time,speedup
1,6,1,2.62260437011719E-06,2.784153938293460,0.000000941975346278701
1,6,10,8.86917114257813E-05,0.001573324203491210,0.0563721776026671
1,6,100,0.0005698204040527340,0.19704508781433100,0.00289182750188453
1,6,1000,0.005578517913818360,0.0022737979888916000,2.45339205200797
1,6,10000,0.05564403533935550,0.008503437042236330,6.54371109740369
1,6,100000,0.5534343719482420,1.0118000507354700,0.5469799804279060
1,6,1000000,5.537100553512570,1.9873926639556900,2.78611300823239
1,6,10000000,47.377768754959100,13.728467464447000,3.451060278771440
2,6,1,1.9073486328125E-06,0.29010534286499000,0.00000657467599174879
2,6,10,8.70227813720703E-05,0.001190185546875,0.0731169871794872
2,6,100,0.00033092498779296900,0.0012516975402832000,0.264380952380953
2,6,1000,0.003081083297729490,0.0017085075378418000,1.803377058331
2,6,10000,0.03977465629577640,0.013034582138061500,3.05147152969582
2,6,100000,0.3617844581604000,0.20207500457763700,1.7903473955949
2,6,1000000,4.1702258586883500,1.6558928489685100,2.5184152835046500
2,6,10000000,46.55865716934200,22.383394956588700,2.08005341726042
3,6,1,2.62260437011719E-06,0.05531740188598630,0.0000474101147324777
3,6,10,9.1552734375E-05,0.0010938644409179700,0.083696599825632
3,6,100,0.0005729198455810550,0.005447864532470700,0.105164113785558
3,6,1000,0.0055389404296875,0.003420114517211910,1.61951899616591
3,6,10000,0.05538129806518560,0.010150432586669900,5.45605299008786
3,6,100000,0.555851936340332,0.15044069290161100,3.69482435649151
3,6,1000000,4.258511543273930,1.7972197532653800,2.3694996316041
3,6,10000000,47.50617003440860,20.4009268283844,2.32862802920855
1,12,1,2.14576721191406E-06,0.09036970138549810,0.0000237443211498583
1,12,10,0.00010800361633300800,0.015544652938842800,0.00694795932452952
1,12,100,0.0006453990936279300,0.015141010284423800,0.0426258936163513
1,12,1000,0.006026268005371090,0.009948253631591800,0.605761395772420000
1,12,10000,0.05982375144958500,0.020165443420410200,2.9666469614566
1,12,100000,0.581336259841919,0.12069559097290000,4.81654926377922
1,12,1000000,3.960108995437620,1.4485869407653800,2.73377377911832
1,12,10000000,38.844842195510900,12.003866195678700,3.236027589968870
2,12,1,1.9073486328125E-06,0.10698652267456100,0.0000178279336979145
2,12,10,9.41753387451172E-05,0.011187314987182600,0.00841804658696163
2,12,100,0.0006186962127685550,0.015468597412109400,0.0399969173859432
2,12,1000,0.00597381591796875,0.00988912582397461,0.60407927093881100
2,12,10000,0.05951094627380370,0.02049398422241210,2.90382512389772000
2,12,100000,0.3374817371368410,0.15130257606506300,2.23050886451343
2,12,1000000,3.4383316040039100,1.1778311729431200,2.9192058106361200
2,12,10000000,39.546329498291000,8.510327100753780,4.646863631691460
3,12,1,1.66893005371094E-06,0.08492827415466310,0.0000196510534368289
3,12,10,7.03334808349609E-05,0.008101940155029300,0.00868106644694249
3,12,100,0.00037789344787597700,0.007609844207763670,0.0496584999060092
3,12,1000,0.003374814987182620,0.012579917907714800,0.268270032597985000
3,12,10000,0.033774375915527300,0.02223992347717290,1.51863723587868
3,12,100000,0.3462798595428470,0.14786243438720700,2.34190557580058
3,12,1000000,3.3087356090545700,0.8385717868804930,3.9456796195864700
3,12,10000000,38.28877019882200,8.68712067604065,4.40753290148526
